activity,hazard,persons_at_risk,severity,likelihood,controls,residual_severity,residual_likelihood,ppe,responsible
Excavation works,Cave-in / trench collapse,Operatives,5,3,"Shore/batter sides; daily inspection; exclusion zone; competent supervisor on-site",5,1,"Hard hat, hi-vis, steel-toed boots, gloves",Site Supervisor
Concrete pour,Slips on wet concrete / chemical burns,Operatives + visitors,3,3,"Non-slip footwear; PPE; barriers; COSHH assessment available on-site",3,1,"Gloves, safety glasses, hi-vis, waterproof boots",Site Manager
Working at height (>2m),Falls from height,Operatives,5,3,"Scaffolding with toe boards & handrails; harness if work platform unavailable; rescue plan briefed",5,1,"Safety harness, hard hat, hi-vis",Scaffolding Supervisor
Manual handling (>25kg),Musculoskeletal injury,Operatives,3,4,"Team lift protocol; mechanical aids where available; daily briefing on MH technique",2,2,"Gloves, back support belt (optional)",Site Supervisor
Electrical installation,Electric shock / arc flash,Electrician + adjacent workers,5,2,"Permit to work; lockout/tagout; insulated tools; test before touch",5,1,"Insulated gloves, face shield, anti-static boots",NICEIC Approved Electrician
Cutting / grinding,Eye / hand injury from sparks or disc failure,Operatives,4,3,"Guards in place; discs within service life; exclusion zone 3m; no bystanders",3,1,"Face shield, cut-resistant gloves, hi-vis, hearing protection",Operative (supervised)
Crane lift,Crush injury / falling load,Operatives + public,5,2,"Lift plan signed; exclusion zone; SWL not exceeded; trained slinger; banks-person",5,1,"Hard hat, hi-vis, gloves",Appointed Lift Supervisor
Welding / hot works,Fire / burns / fumes,Operatives + adjacent,4,2,"Hot works permit; fire extinguisher within 5m; fire watch 30 min post-work; local exhaust ventilation",3,1,"Welding mask, leather gloves, flame-resistant jacket, RPE P3",Hot Works Supervisor
Drainage installation,Contaminated ground / Weil's disease,Operatives,3,2,"Welfare facilities; wash hands before eating; gloves; cover cuts; report symptoms immediately",2,1,"Gloves, waterproof boots, hi-vis",Site Supervisor
Asbestos check (intrusive works),Asbestos fibre inhalation,Operatives,5,1,"R&D survey reviewed; stop-and-check protocol; licensed contractor if ACM found; works halted until clearance",5,1,"FFP3 mask, disposable coverall, gloves",Site Manager / HSE Notified Contractor
